"Datetime","Item"
"3/10/2016 01:53:43","INTOLERANCE SYMPTOMS"
"3/10/2016 11:09:38","gluten free double choc biscuits"
"3/10/2016 13:00:05","cheese"
"3/10/2016 13:00:16","cold cuts salami"
"3/10/2016 13:00:17","gluten free bread with soy"
"3/10/2016 13:00:37","alfalfa sprouts"
"3/10/2016 13:00:43","cold cuts chicken"
"3/10/2016 13:00:55","cold cuts turkey"
"3/10/2016 13:15:21","hummus"
"3/10/2016 13:30:43","sugar free muffin"
"3/10/2016 15:10:59","INTOLERANCE SYMPTOMS"
"3/10/2016 19:54:33","cold cuts chicken"
"3/10/2016 19:54:45","cherry tomatoes"
"3/10/2016 19:54:50","cucumber"
"3/10/2016 19:58:14","gluten free vienna eclairs"
"3/10/2016 19:59:13","gluten free bread with soy"
"3/10/2016 19:59:28","cold cuts salami"
"3/10/2016 19:59:30","alfalfa sprouts"
"3/10/2016 19:59:46","cheese"
"3/10/2016 19:59:50","gluten free munchy muesli cookies"
"3/10/2016 19:59:53","cold cuts turkey"
"30/09/2016 08:59:52","beef sausages with garlic"
"30/09/2016 09:00:01","tasty cheese"
"30/09/2016 09:01:58","gluten free melting moments"
"30/09/2016 10:25:14","banana"
"30/09/2016 10:37:36","black tea"
"30/09/2016 11:21:38","gluten free double choc biscuits"
"30/09/2016 11:37:28","black tea"
"30/09/2016 12:21:17","black tea"
"30/09/2016 12:39:45","smooth peanut butter"
"30/09/2016 12:39:56","gluten free bread with soy"
"30/09/2016 13:26:58","black tea"
"30/09/2016 14:22:31","gluten free munchy muesli cookies"
"30/09/2016 15:17:44","black tea"
"30/09/2016 15:17:49","dark chocolate"
"30/09/2016 16:26:20","banana"
"30/09/2016 16:55:43","beef sausages with garlic"
"30/09/2016 16:55:56","tasty cheese"
"30/09/2016 17:02:12","gluten free double choc biscuits"
"30/09/2016 17:31:08","gluten free rice crackers"
"4/10/2016 08:42:12","gluten free vienna eclairs"
"4/10/2016 10:00:15","black tea"
"4/10/2016 10:59:53","tamari almonds"
"4/10/2016 11:18:01","gluten free brown rice chips"
"4/10/2016 11:57:31","black tea"
"4/10/2016 12:07:49","spelt sourdough"
"4/10/2016 12:07:58","crunchy peanut butter"
"4/10/2016 12:32:31","INTOLERANCE SYMPTOMS"
"4/10/2016 12:40:09","dark chocolate"
"4/10/2016 13:35:30","gluten free double choc biscuits"
"4/10/2016 14:44:04","banana"
"4/10/2016 14:46:26","gluten free brown rice chips"
"4/10/2016 14:54:09","INTOLERANCE SYMPTOMS"
"4/10/2016 15:11:45","green tea"
"4/10/2016 15:27:17","INTOLERANCE SYMPTOMS"
"4/10/2016 16:12:36","dark chocolate"
"4/10/2016 18:26:27","cucumber"
"4/10/2016 18:39:46","gluten free bread with soy"
"4/10/2016 18:39:54","tomato"
"4/10/2016 18:40:04","tasty cheese"
"4/10/2016 18:40:10","alfalfa sprouts"
"4/10/2016 18:40:28","cold cuts chicken"
"4/10/2016 18:40:44","cold cuts turkey"
"4/10/2016 18:40:58","cold cuts salami"
"5/10/2016 07:23:19","grass fed beef"
"5/10/2016 07:25:06","baby spinach"
"5/10/2016 10:12:48","dark chocolate"
"5/10/2016 11:28:53","banana"
"5/10/2016 11:57:13","INTOLERANCE SYMPTOMS"
"5/10/2016 12:10:34","gluten free double choc biscuits"
"5/10/2016 13:02:50","gluten free rice crackers"
"5/10/2016 13:24:31","gluten free double choc biscuits"
"5/10/2016 13:24:52","green tea"
"5/10/2016 14:29:29","dark chocolate"
"5/10/2016 14:55:01","INTOLERANCE SYMPTOMS"
"5/10/2016 17:29:56","tamari almonds"
"5/10/2016 19:15:20","gluten free pasta"
"5/10/2016 19:15:32","tomato"
"5/10/2016 19:15:38","green beans"
"5/10/2016 19:16:12","tuna"
"6/10/2016 01:42:31","INTOLERANCE SYMPTOMS"
"6/10/2016 02:56:48","dark chocolate"
"6/10/2016 03:06:45","gluten free munchy muesli cookies"
"6/10/2016 03:37:59","grass fed beef"
"6/10/2016 03:38:07","baby spinach"
"6/10/2016 03:51:59","dark chocolate"
"6/10/2016 13:04:33","gluten free double choc biscuits"
"6/10/2016 13:05:36","banana"
"6/10/2016 13:06:51","gluten free double choc biscuits"
"6/10/2016 14:13:07","black tea"
"6/10/2016 16:59:52","dark chocolate"
"6/10/2016 17:03:42","tamari almonds"
"6/10/2016 18:45:30","gluten free pasta"
"6/10/2016 18:45:38","red capciscum"
"6/10/2016 18:45:50","tomato"
"6/10/2016 18:45:57","green beans"
"6/10/2016 18:46:08","tuna"
"6/10/2016 19:13:44","gluten free munchy muesli cookies"
"6/10/2016 19:51:51","gluten free rice crackers"
"7/10/2016 07:15:40","gluten free bread with soy"
"7/10/2016 07:15:52","eggs"
"7/10/2016 07:16:00","tasty cheese"
"7/10/2016 07:16:09","feta"
"7/10/2016 07:16:16","baby spinach"
"7/10/2016 07:16:29","parmesan cheese"
"7/10/2016 08:02:53","dark chocolate"
"7/10/2016 10:51:23","green tea"
"7/10/2016 10:57:52","banana"
"7/10/2016 13:01:03","gluten free pasta"
"7/10/2016 13:01:11","tomato"
"7/10/2016 13:01:16","tuna"
"7/10/2016 13:01:24","green beans"
"7/10/2016 13:01:37","red capciscum"
"7/10/2016 13:10:47","gluten free double choc biscuits"
"7/10/2016 13:23:01","gluten free brown rice chips"
"7/10/2016 13:36:17","black tea"
"7/10/2016 14:24:50","gluten free rice crackers"
"7/10/2016 14:54:18","gluten free double choc biscuits"
"7/10/2016 15:04:31","black tea"
"7/10/2016 17:21:49","iranian biscuit"
"7/10/2016 19:07:47","gluten free bread with soy"
"7/10/2016 19:08:02","cold cuts chicken"
"7/10/2016 19:08:18","cold cuts corn beef"
"7/10/2016 19:08:38","lettuce"
"7/10/2016 19:08:48","extra tasty cheese"
"7/10/2016 20:24:16","gluten free double choc biscuits"
"8/10/2016 08:59:32","gluten free bread with soy"
"8/10/2016 08:59:44","eggs"
"8/10/2016 09:00:04","swiss cheese"
"8/10/2016 09:18:35","gluten free double choc biscuits"
"8/10/2016 10:17:43","gluten free double choc biscuits"
"8/10/2016 10:43:10","swiss cheese"
"8/10/2016 10:43:30","banana"
"8/10/2016 11:38:20","banana"
"8/10/2016 13:45:02","salmon"
"8/10/2016 13:46:36","cold cuts corn beef"
"8/10/2016 13:46:42","gluten free bread with soy"
"8/10/2016 13:46:48","extra tasty cheese"
"8/10/2016 13:46:56","baby spinach"
"8/10/2016 13:47:02","cold cuts chicken"
"8/10/2016 15:17:49","gluten free double choc biscuits"
"8/10/2016 18:53:52","lettuce"
"8/10/2016 18:54:06","cherry tomatoes"
"8/10/2016 18:54:35","cucumber"
"8/10/2016 18:56:41","salmon"
"8/10/2016 19:59:59","gluten free double choc biscuits"
"9/10/2016 09:20:06","eggs"
"9/10/2016 09:20:20","beef mince"
"9/10/2016 09:20:31","swiss cheese"
"9/10/2016 09:20:38","gluten free bread with soy"
"9/10/2016 10:19:13","gluten free double choc biscuits"
"9/10/2016 12:05:01","cold cuts chicken"
"9/10/2016 12:05:10","cold cuts turkey"
"9/10/2016 12:05:18","gluten free bread with soy"
"9/10/2016 12:05:25","baby spinach"
"9/10/2016 12:05:32","extra tasty cheese"
"9/10/2016 12:14:18","gluten free double choc biscuits"
"9/10/2016 16:14:07","gluten free brown rice chips"
"9/10/2016 16:21:49","gluten free munchy muesli cookies"
"9/10/2016 19:47:44","gluten free double choc biscuits"
"9/10/2016 19:59:04","salmon"
"9/10/2016 19:59:13","gluten free bread with soy"
"9/10/2016 19:59:37","gluten free double choc biscuits"
"9/10/2016 19:59:45","gluten free munchy muesli cookies"
"9/10/2016 20:01:19","cold cuts chicken"
"9/10/2016 20:01:27","baby spinach"
"9/10/2016 20:01:34","tasty cheese"
"9/10/2016 20:21:22","gluten free classic choc biscotti"
